Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2568,Jiexiu,CHN,China,37.0400246369,111.899980834,8,741.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,-11.83,48.41,0.0,0.0,0.0,177.35,1.78,341.0,948.71,
2013,1,1,1,-11.07,47.21,0.0,0.0,0.0,178.04,1.89,346.0,948.71,
2013,1,1,2,-10.31,46.02,0.0,0.0,0.0,178.72,2.0,354.0,948.86,
2013,1,1,3,-9.55,44.82,0.0,0.0,0.0,179.41,2.11,2.0,949.02,
2013,1,1,4,-8.79,43.63,0.0,0.0,0.0,180.1,2.22,9.0,949.17,
2013,1,1,5,-8.03,42.43,0.0,0.0,0.0,180.78,2.33,15.0,949.47,
2013,1,1,6,-7.27,41.24,0.0,0.0,0.0,181.47,2.44,21.0,949.78,
2013,1,1,7,-6.51,40.04,0.0,0.0,0.0,182.15,2.55,26.0,950.09,
2013,1,1,8,-5.75,38.85,0.0,0.0,0.0,182.84,2.66,298.0,938.92,
2013,1,1,9,-4.99,37.65,129.0,350.79,69.0,183.52,2.77,300.0,939.19,
2013,1,1,10,-4.23,36.46,301.0,633.73,101.0,184.21,2.88,302.0,939.47,
2013,1,1,11,-3.47,35.26,437.0,771.43,111.0,184.9,2.99,303.0,938.98,
2013,1,1,12,-2.71,34.07,501.0,740.6,142.0,185.58,3.11,304.0,938.49,
2013,1,1,13,-1.95,32.87,531.0,821.59,122.0,186.27,3.22,306.0,938.0,
2013,1,1,14,-1.19,31.68,479.0,768.03,125.0,186.95,3.33,312.0,938.71,
2013,1,1,15,-0.43,30.48,378.0,719.67,107.0,187.64,3.44,318.0,939.41,
2013,1,1,16,-2.87,33.15,209.0,443.11,98.0,186.85,2.25,324.0,940.11,
2013,1,1,17,-3.59,32.76,15.0,0.0,15.0,186.52,2.34,329.0,941.09,
2013,1,1,18,-4.31,32.36,0.0,0.0,0.0,186.18,2.42,333.0,942.06,
2013,1,1,19,-5.03,31.97,0.0,0.0,0.0,185.85,2.51,338.0,943.04,
2013,1,1,20,-4.97,31.34,0.0,0.0,0.0,188.42,2.04,339.0,943.59,
2013,1,1,21,-4.91,30.7,0.0,0.0,0.0,190.98,1.57,340.0,944.14,
2013,1,1,22,-4.85,30.07,0.0,0.0,0.0,193.55,1.1,341.0,944.69,
2013,1,1,23,-5.1,29.26,0.0,0.0,0.0,192.92,1.06,336.0,945.26,
2013,1,2,0,-5.35,28.46,0.0,0.0,0.0,192.28,1.01,331.0,945.84,
2013,1,2,1,-5.6,27.65,0.0,0.0,0.0,191.65,0.97,326.0,946.42,
2013,1,2,2,-5.96,27.02,0.0,0.0,0.0,190.48,1.19,321.0,946.97,
2013,1,2,3,-6.32,26.4,0.0,0.0,0.0,189.32,1.41,315.0,947.52,
2013,1,2,4,-6.68,25.77,0.0,0.0,0.0,188.15,1.63,310.0,948.07,
2013,1,2,5,-7.35,25.52,0.0,0.0,0.0,187.05,1.9,308.0,948.86,
2013,1,2,6,-8.03,25.26,0.0,0.0,0.0,185.95,2.17,306.0,949.66,
2013,1,2,7,-8.7,25.01,0.0,0.0,0.0,184.85,2.44,304.0,950.45,
2013,1,2,8,-8.25,24.9,0.0,0.0,0.0,184.97,2.73,306.0,951.76,
2013,1,2,9,-7.81,24.78,113.0,222.3,75.0,185.08,3.02,308.0,953.07,
2013,1,2,10,-7.36,24.67,284.0,519.27,120.0,185.2,3.31,310.0,954.39,
2013,1,2,11,-7.02,24.08,431.0,730.15,122.0,185.78,3.35,311.0,954.08,
2013,1,2,12,-6.68,23.5,511.0,784.36,130.0,186.37,3.38,312.0,953.78,
2013,1,2,13,-6.35,22.91,533.0,823.32,122.0,186.95,3.42,313.0,953.47,
2013,1,2,14,-7.14,23.48,481.0,769.49,125.0,186.68,3.45,315.0,954.33,
2013,1,2,15,-7.93,24.04,359.0,594.34,134.0,186.42,3.48,316.0,955.18,
2013,1,2,16,-8.72,24.61,146.0,110.8,118.0,186.15,3.5,318.0,956.03,
2013,1,2,17,-9.48,26.19,9.0,0.0,9.0,187.0,2.72,318.0,957.28,
2013,1,2,18,-10.23,27.77,0.0,0.0,0.0,187.85,1.94,318.0,958.54,
2013,1,2,19,-10.99,29.35,0.0,0.0,0.0,188.7,1.16,318.0,959.79,
2013,1,2,20,-10.64,30.59,0.0,0.0,0.0,188.17,1.12,320.0,960.24,
2013,1,2,21,-10.29,31.84,0.0,0.0,0.0,187.63,1.09,322.0,960.7,
2013,1,2,22,-9.93,33.08,0.0,0.0,0.0,187.1,1.05,324.0,961.16,
2013,1,2,23,-10.08,34.47,0.0,0.0,0.0,180.28,1.0,321.0,961.19,
2013,1,3,0,-10.23,35.85,0.0,0.0,0.0,173.47,0.95,318.0,961.22,
2013,1,3,1,-10.38,37.24,0.0,0.0,0.0,166.65,0.9,315.0,961.25,
2013,1,3,2,-10.4,37.92,0.0,0.0,0.0,167.75,0.88,314.0,961.13,
2013,1,3,3,-10.43,38.6,0.0,0.0,0.0,168.85,0.86,312.0,961.01,
2013,1,3,4,-10.45,39.28,0.0,0.0,0.0,169.95,0.84,311.0,960.88,
2013,1,3,5,-10.82,39.65,0.0,0.0,0.0,168.22,0.99,311.0,960.76,
2013,1,3,6,-11.2,40.01,0.0,0.0,0.0,166.48,1.14,310.0,960.64,
2013,1,3,7,-11.57,40.38,0.0,0.0,0.0,164.75,1.3,310.0,960.52,
2013,1,3,8,-10.52,36.84,0.0,0.0,0.0,164.05,1.1,312.0,960.03,
2013,1,3,9,-9.47,33.3,90.0,93.6,74.0,163.35,0.91,314.0,959.54,
2013,1,3,10,-8.42,29.76,251.0,338.43,144.0,162.65,0.72,316.0,959.05,
2013,1,3,11,-7.23,26.85,397.0,551.99,163.0,164.27,0.7,311.0,957.28,
2013,1,3,12,-6.04,23.93,477.0,620.3,175.0,165.88,0.68,306.0,955.52,
2013,1,3,13,-4.85,21.02,514.0,721.0,153.0,167.5,0.66,301.0,953.75,
2013,1,3,14,-4.95,20.72,462.0,658.8,156.0,169.87,0.67,297.0,953.29,
2013,1,3,15,-5.06,20.43,363.0,606.81,132.0,172.23,0.67,293.0,952.83,
2013,1,3,16,-5.17,20.13,219.0,486.25,95.0,174.6,0.68,288.0,952.37,
2013,1,3,17,-5.92,23.71,12.0,0.0,12.0,177.02,0.98,275.0,952.59,
2013,1,3,18,-6.68,27.28,0.0,0.0,0.0,179.43,1.28,261.0,952.8,
2013,1,3,19,-7.43,30.86,0.0,0.0,0.0,181.85,1.59,248.0,953.01,
2013,1,3,20,-7.27,32.24,0.0,0.0,0.0,181.17,1.41,252.0,952.95,
2013,1,3,21,-7.11,33.61,0.0,0.0,0.0,180.48,1.24,255.0,952.89,
2013,1,3,22,-6.94,34.99,0.0,0.0,0.0,179.8,1.06,259.0,952.83,
2013,1,3,23,-7.08,36.03,0.0,0.0,0.0,177.28,0.97,266.0,952.53,
2013,1,4,0,-7.21,37.08,0.0,0.0,0.0,174.77,0.88,274.0,952.22,
2013,1,4,1,-7.35,38.12,0.0,0.0,0.0,172.25,0.79,281.0,951.92,
2013,1,4,2,-7.89,38.01,0.0,0.0,0.0,171.73,0.88,285.0,951.4,
2013,1,4,3,-8.44,37.91,0.0,0.0,0.0,171.22,0.98,289.0,950.88,
2013,1,4,4,-8.99,37.8,0.0,0.0,0.0,170.7,1.08,292.0,950.36,
2013,1,4,5,-9.48,37.97,0.0,0.0,0.0,169.72,1.26,292.0,950.05,
2013,1,4,6,-9.97,38.14,0.0,0.0,0.0,168.73,1.45,291.0,949.75,
2013,1,4,7,-10.45,38.31,0.0,0.0,0.0,167.75,1.64,291.0,949.44,
2013,1,4,8,-8.68,34.27,0.0,0.0,0.0,170.25,1.47,288.0,948.9,
2013,1,4,9,-6.92,30.23,105.0,169.55,76.0,172.75,1.3,284.0,948.35,
2013,1,4,10,-5.15,26.19,210.0,170.55,156.0,175.25,1.13,281.0,947.8,
2013,1,4,11,-3.94,23.3,266.0,117.71,216.0,179.52,1.36,281.0,946.03,
2013,1,4,12,-2.73,20.42,444.0,477.37,211.0,183.78,1.59,281.0,944.26,
2013,1,4,13,-1.53,17.53,480.0,563.41,197.0,188.05,1.82,281.0,942.49,
2013,1,4,14,-1.72,18.37,447.0,583.17,175.0,188.63,1.52,285.0,942.15,
2013,1,4,15,-1.91,19.21,366.0,608.54,133.0,189.22,1.21,289.0,941.82,
2013,1,4,16,-2.11,20.05,224.0,508.93,93.0,189.8,0.91,292.0,941.48,
2013,1,4,17,-2.94,23.02,16.0,0.0,16.0,188.98,1.39,292.0,941.7,
2013,1,4,18,-3.78,25.98,0.0,0.0,0.0,188.17,1.87,292.0,941.91,
2013,1,4,19,-4.61,28.95,0.0,0.0,0.0,187.35,2.34,291.0,942.12,
2013,1,4,20,-4.79,30.7,0.0,0.0,0.0,187.07,2.14,295.0,942.46,
2013,1,4,21,-4.97,32.44,0.0,0.0,0.0,186.78,1.94,298.0,942.79,
2013,1,4,22,-5.14,34.19,0.0,0.0,0.0,186.5,1.74,302.0,943.13,
2013,1,4,23,-5.51,35.67,0.0,0.0,0.0,186.28,1.67,305.0,943.16,
2013,1,5,0,-5.87,37.14,0.0,0.0,0.0,186.07,1.6,308.0,943.19,
2013,1,5,1,-6.24,38.62,0.0,0.0,0.0,185.85,1.53,312.0,943.22,
2013,1,5,2,-6.47,39.37,0.0,0.0,0.0,185.57,1.56,313.0,943.25,
2013,1,5,3,-6.71,40.12,0.0,0.0,0.0,185.28,1.59,314.0,943.28,
2013,1,5,4,-6.94,40.87,0.0,0.0,0.0,185.0,1.61,315.0,943.31,
2013,1,5,5,-7.45,41.27,0.0,0.0,0.0,183.92,1.4,316.0,943.59,
2013,1,5,6,-7.97,41.67,0.0,0.0,0.0,182.83,1.18,317.0,943.86,
2013,1,5,7,-8.48,42.07,0.0,0.0,0.0,181.75,0.97,318.0,944.14,
2013,1,5,8,-6.79,38.06,0.0,0.0,0.0,182.58,0.8,315.0,944.35,
2013,1,5,9,-5.11,34.06,37.0,0.0,37.0,183.42,0.63,312.0,944.56,
2013,1,5,10,-3.42,30.05,145.0,28.37,136.0,184.25,0.46,309.0,944.78,
2013,1,5,11,-2.12,26.76,260.0,105.71,215.0,187.33,0.61,314.0,943.31,
2013,1,5,12,-0.82,23.48,284.0,77.64,246.0,190.42,0.77,319.0,941.85,
2013,1,5,13,0.47,20.19,265.0,45.63,242.0,193.5,0.92,324.0,940.38,
2013,1,5,14,0.06,23.11,326.0,177.18,243.0,196.78,0.98,332.0,940.38,
2013,1,5,15,-0.36,26.03,234.0,109.04,192.0,200.07,1.03,339.0,940.38,
2013,1,5,16,-0.78,28.95,122.0,42.33,111.0,203.35,1.09,347.0,940.38,
2013,1,5,17,-1.71,31.02,6.0,0.0,6.0,206.35,1.32,319.0,940.87,
2013,1,5,18,-2.64,33.08,0.0,0.0,0.0,209.35,1.55,290.0,941.36,
2013,1,5,19,-3.57,35.15,0.0,0.0,0.0,212.35,1.78,261.0,941.85,
2013,1,5,20,-4.05,35.84,0.0,0.0,0.0,208.95,1.77,272.0,942.46,
2013,1,5,21,-4.53,36.52,0.0,0.0,0.0,205.55,1.75,283.0,943.07,
2013,1,5,22,-5.01,37.21,0.0,0.0,0.0,202.15,1.74,295.0,943.68,
2013,1,5,23,-5.46,38.27,0.0,0.0,0.0,196.3,1.76,299.0,943.71,
2013,1,6,0,-5.9,39.32,0.0,0.0,0.0,190.45,1.78,304.0,943.74,
2013,1,6,1,-6.35,40.38,0.0,0.0,0.0,184.6,1.81,309.0,943.77,
2013,1,6,2,-6.77,41.15,0.0,0.0,0.0,183.75,1.69,307.0,943.68,
2013,1,6,3,-7.2,41.93,0.0,0.0,0.0,182.9,1.57,305.0,943.59,
2013,1,6,4,-7.62,42.7,0.0,0.0,0.0,182.05,1.45,302.0,943.5,
2013,1,6,5,-8.21,43.74,0.0,0.0,0.0,181.65,1.51,303.0,943.65,
2013,1,6,6,-8.8,44.77,0.0,0.0,0.0,181.25,1.57,304.0,943.8,
2013,1,6,7,-9.39,45.81,0.0,0.0,0.0,180.85,1.63,305.0,943.95,
2013,1,6,8,-7.05,40.55,0.0,0.0,0.0,183.12,1.44,297.0,943.83,
2013,1,6,9,-4.72,35.29,105.0,169.02,76.0,185.38,1.25,289.0,943.71,
2013,1,6,10,-2.38,30.03,261.0,380.67,140.0,187.65,1.06,281.0,943.59,
2013,1,6,11,-0.99,26.14,383.0,473.32,181.0,190.45,1.42,283.0,941.82,
2013,1,6,12,0.39,22.26,455.0,511.32,204.0,193.25,1.77,284.0,940.05,
2013,1,6,13,1.77,18.37,505.0,654.37,174.0,196.05,2.12,286.0,938.28,
2013,1,6,14,1.26,20.07,443.0,548.24,185.0,204.48,1.74,289.0,938.34,
2013,1,6,15,0.75,21.76,283.0,232.21,193.0,212.92,1.36,293.0,938.4,
2013,1,6,16,0.23,23.46,74.0,0.0,74.0,221.35,0.98,297.0,938.46,
2013,1,6,17,-0.22,24.07,6.0,0.0,6.0,229.58,1.45,292.0,938.61,
2013,1,6,18,-0.68,24.68,0.0,0.0,0.0,237.82,1.92,288.0,938.77,
2013,1,6,19,-1.13,25.29,0.0,0.0,0.0,246.05,2.39,284.0,938.92,
2013,1,6,20,-1.2,25.66,0.0,0.0,0.0,245.92,2.4,284.0,939.16,
2013,1,6,21,-1.26,26.04,0.0,0.0,0.0,245.78,2.4,285.0,939.41,
2013,1,6,22,-1.32,26.41,0.0,0.0,0.0,245.65,2.41,285.0,939.65,
2013,1,6,23,-1.45,26.82,0.0,0.0,0.0,245.02,2.3,291.0,939.65,
2013,1,7,0,-1.57,27.24,0.0,0.0,0.0,244.38,2.18,296.0,939.65,
2013,1,7,1,-1.7,27.65,0.0,0.0,0.0,243.75,2.07,301.0,939.65,
2013,1,7,2,-1.8,28.35,0.0,0.0,0.0,237.7,2.06,301.0,939.56,
2013,1,7,3,-1.9,29.06,0.0,0.0,0.0,231.65,2.06,302.0,939.47,
2013,1,7,4,-2.0,29.76,0.0,0.0,0.0,225.6,2.06,302.0,939.38,
2013,1,7,5,-2.73,31.03,0.0,0.0,0.0,225.77,1.77,306.0,939.5,
2013,1,7,6,-3.46,32.31,0.0,0.0,0.0,225.93,1.49,309.0,939.62,
2013,1,7,7,-4.18,33.58,0.0,0.0,0.0,226.1,1.21,312.0,939.74,
2013,1,7,8,-2.46,31.4,0.0,0.0,0.0,230.37,1.05,315.0,939.71,
2013,1,7,9,-0.75,29.21,75.0,40.7,68.0,234.63,0.88,317.0,939.68,
2013,1,7,10,0.97,27.03,76.0,0.0,76.0,238.9,0.72,319.0,939.65,
2013,1,7,11,2.1,25.63,211.0,35.05,196.0,236.67,1.04,320.0,938.28,
2013,1,7,12,3.23,24.22,358.0,205.1,257.0,234.43,1.36,321.0,936.91,
2013,1,7,13,4.35,22.82,507.0,653.86,175.0,232.2,1.68,322.0,935.53,
2013,1,7,14,3.45,27.84,488.0,746.56,135.0,225.0,1.66,324.0,935.59,
2013,1,7,15,2.55,32.86,345.0,464.03,164.0,217.8,1.63,325.0,935.66,
2013,1,7,16,1.64,37.88,172.0,173.54,126.0,210.6,1.6,327.0,935.72,
2013,1,7,17,0.29,39.67,32.0,9.4,31.0,208.43,2.05,311.0,936.36,
2013,1,7,18,-1.05,41.45,0.0,0.0,0.0,206.27,2.49,296.0,937.0,
2013,1,7,19,-2.4,43.24,0.0,0.0,0.0,204.1,2.94,280.0,937.64,
2013,1,7,20,-2.49,43.48,0.0,0.0,0.0,202.85,2.77,282.0,938.16,
2013,1,7,21,-2.57,43.72,0.0,0.0,0.0,201.6,2.6,285.0,938.68,
2013,1,7,22,-2.65,43.96,0.0,0.0,0.0,200.35,2.43,287.0,939.19,
2013,1,7,23,-2.75,44.23,0.0,0.0,0.0,199.75,2.24,291.0,939.47,
2013,1,8,0,-2.84,44.49,0.0,0.0,0.0,199.15,2.06,295.0,939.74,
2013,1,8,1,-2.94,44.76,0.0,0.0,0.0,198.55,1.88,298.0,940.02,
2013,1,8,2,-3.07,45.98,0.0,0.0,0.0,197.35,1.93,301.0,940.32,
2013,1,8,3,-3.21,47.2,0.0,0.0,0.0,196.15,1.98,304.0,940.63,
2013,1,8,4,-3.34,48.42,0.0,0.0,0.0,194.95,2.03,308.0,940.93,
2013,1,8,5,-3.82,49.84,0.0,0.0,0.0,196.27,2.28,309.0,941.79,
2013,1,8,6,-4.3,51.25,0.0,0.0,0.0,197.58,2.52,310.0,942.64,
2013,1,8,7,-4.78,52.67,0.0,0.0,0.0,198.9,2.77,312.0,943.5,
2013,1,8,8,-3.28,46.63,0.0,0.0,0.0,199.42,2.92,310.0,943.98,
2013,1,8,9,-1.79,40.59,122.0,284.0,73.0,199.93,3.07,308.0,944.47,
2013,1,8,10,-0.29,34.55,298.0,588.35,110.0,200.45,3.21,305.0,944.96,
2013,1,8,11,0.31,30.75,430.0,691.95,133.0,201.17,3.44,307.0,944.01,
2013,1,8,12,0.91,26.94,523.0,803.46,126.0,201.88,3.66,310.0,943.07,
2013,1,8,13,1.51,23.14,540.0,798.37,133.0,202.6,3.89,312.0,942.12,
2013,1,8,14,0.75,24.02,491.0,747.09,136.0,203.32,3.89,311.0,942.49,
2013,1,8,15,-0.01,24.91,372.0,588.33,141.0,204.03,3.89,310.0,942.85,
2013,1,8,16,-0.78,25.79,235.0,515.31,97.0,204.75,3.89,309.0,943.22,
2013,1,8,17,-1.99,28.21,24.0,0.0,24.0,202.65,3.39,307.0,944.01,
2013,1,8,18,-3.19,30.63,0.0,0.0,0.0,200.55,2.9,304.0,944.81,
2013,1,8,19,-4.4,33.05,0.0,0.0,0.0,198.45,2.4,301.0,945.6,
2013,1,8,20,-4.48,35.32,0.0,0.0,0.0,195.42,2.26,302.0,946.03,
2013,1,8,21,-4.55,37.58,0.0,0.0,0.0,192.38,2.12,302.0,946.45,
2013,1,8,22,-4.62,39.85,0.0,0.0,0.0,189.35,1.99,302.0,946.88,
2013,1,8,23,-4.83,41.56,0.0,0.0,0.0,187.13,1.98,300.0,947.06,
2013,1,9,0,-5.04,43.27,0.0,0.0,0.0,184.92,1.98,298.0,947.25,
2013,1,9,1,-5.25,44.98,0.0,0.0,0.0,182.7,1.97,296.0,947.43,
2013,1,9,2,-5.45,45.83,0.0,0.0,0.0,180.18,2.04,295.0,947.31,
2013,1,9,3,-5.66,46.68,0.0,0.0,0.0,177.67,2.11,294.0,947.19,
2013,1,9,4,-5.86,47.53,0.0,0.0,0.0,175.15,2.18,292.0,947.06,
2013,1,9,5,-6.75,48.58,0.0,0.0,0.0,174.57,2.08,292.0,947.28,
2013,1,9,6,-7.64,49.64,0.0,0.0,0.0,173.98,1.98,292.0,947.49,
2013,1,9,7,-8.52,50.69,0.0,0.0,0.0,173.4,1.88,292.0,947.71,
2013,1,9,8,-6.37,44.5,0.0,0.0,0.0,175.73,2.07,289.0,947.34,
2013,1,9,9,-4.22,38.32,138.0,433.09,63.0,178.07,2.27,287.0,946.97,
2013,1,9,10,-2.07,32.13,314.0,698.82,90.0,180.4,2.47,284.0,946.61,
2013,1,9,11,-0.81,29.14,449.0,789.57,109.0,182.3,2.48,282.0,944.9,
2013,1,9,12,0.45,26.15,525.0,804.61,126.0,184.2,2.5,281.0,943.19,
2013,1,9,13,1.7,23.16,551.0,843.88,119.0,186.1,2.51,280.0,941.48,
2013,1,9,14,1.11,24.73,496.0,762.13,132.0,186.9,2.22,277.0,941.3,
2013,1,9,15,0.51,26.3,402.0,746.27,107.0,187.7,1.93,275.0,941.12,
2013,1,9,16,-0.09,27.87,241.0,539.55,95.0,188.5,1.64,272.0,940.93,
2013,1,9,17,-0.83,32.29,30.0,0.0,30.0,188.85,1.95,263.0,941.18,
2013,1,9,18,-1.58,36.7,0.0,0.0,0.0,189.2,2.26,254.0,941.42,
2013,1,9,19,-2.32,41.12,0.0,0.0,0.0,189.55,2.57,245.0,941.67,
2013,1,9,20,-2.73,43.96,0.0,0.0,0.0,190.2,2.47,242.0,941.67,
2013,1,9,21,-3.14,46.79,0.0,0.0,0.0,190.85,2.37,240.0,941.67,
2013,1,9,22,-3.55,49.63,0.0,0.0,0.0,191.5,2.28,238.0,941.67,
2013,1,9,23,-3.68,50.57,0.0,0.0,0.0,191.07,2.23,237.0,941.54,
2013,1,10,0,-3.8,51.5,0.0,0.0,0.0,190.63,2.18,235.0,941.42,
2013,1,10,1,-3.92,52.44,0.0,0.0,0.0,190.2,2.14,234.0,941.3,
2013,1,10,2,-4.24,53.4,0.0,0.0,0.0,190.05,2.02,236.0,941.09,
2013,1,10,3,-4.56,54.37,0.0,0.0,0.0,189.9,1.9,237.0,940.87,
2013,1,10,4,-4.88,55.33,0.0,0.0,0.0,189.75,1.78,239.0,940.66,
2013,1,10,5,-5.38,56.51,0.0,0.0,0.0,189.13,1.94,240.0,940.87,
2013,1,10,6,-5.88,57.7,0.0,0.0,0.0,188.52,2.11,241.0,941.09,
2013,1,10,7,-6.38,58.88,0.0,0.0,0.0,187.9,2.28,242.0,941.3,
2013,1,10,8,-3.8,51.63,0.0,0.0,0.0,190.75,2.29,244.0,941.45,
2013,1,10,9,-1.22,44.37,92.0,92.0,76.0,193.6,2.29,246.0,941.6,
2013,1,10,10,1.36,37.12,233.0,239.39,156.0,196.45,2.3,248.0,941.76,
2013,1,10,11,2.77,34.33,381.0,444.32,189.0,199.12,2.8,249.0,940.05,
2013,1,10,12,4.18,31.54,465.0,524.33,204.0,201.78,3.3,249.0,938.34,
2013,1,10,13,5.58,28.75,508.0,630.16,184.0,204.45,3.79,249.0,936.63,
2013,1,10,14,4.57,31.11,488.0,706.04,149.0,204.45,3.43,245.0,936.57,
2013,1,10,15,3.56,33.46,394.0,680.82,123.0,204.45,3.06,241.0,936.51,
2013,1,10,16,2.54,35.82,249.0,574.09,92.0,204.45,2.69,237.0,936.45,
2013,1,10,17,1.17,39.64,23.0,0.0,23.0,203.73,2.8,237.0,936.78,
2013,1,10,18,-0.21,43.47,0.0,0.0,0.0,203.02,2.9,237.0,937.12,
2013,1,10,19,-1.58,47.29,0.0,0.0,0.0,202.3,3.01,238.0,937.46,
2013,1,10,20,-1.75,50.54,0.0,0.0,0.0,200.75,2.92,239.0,937.76,
2013,1,10,21,-1.92,53.78,0.0,0.0,0.0,199.2,2.83,241.0,938.07,
2013,1,10,22,-2.09,57.03,0.0,0.0,0.0,197.65,2.74,243.0,938.37,
2013,1,10,23,-2.63,58.75,0.0,0.0,0.0,196.85,2.88,248.0,938.49,
2013,1,11,0,-3.16,60.48,0.0,0.0,0.0,196.05,3.01,254.0,938.61,
2013,1,11,1,-3.7,62.2,0.0,0.0,0.0,195.25,3.14,260.0,938.74,
2013,1,11,2,-3.97,59.22,0.0,0.0,0.0,195.85,3.24,266.0,938.83,
2013,1,11,3,-4.24,56.25,0.0,0.0,0.0,196.45,3.34,273.0,938.92,
2013,1,11,4,-4.51,53.27,0.0,0.0,0.0,197.05,3.43,280.0,939.01,
2013,1,11,5,-4.83,50.03,0.0,0.0,0.0,196.67,3.31,284.0,939.8,
2013,1,11,6,-5.15,46.8,0.0,0.0,0.0,196.28,3.2,288.0,940.6,
2013,1,11,7,-5.47,43.56,0.0,0.0,0.0,195.9,3.08,293.0,941.39,
2013,1,11,8,-2.98,41.54,0.0,0.0,0.0,196.9,3.53,293.0,941.27,
2013,1,11,9,-0.48,39.52,109.0,183.1,77.0,197.9,3.98,293.0,941.15,
2013,1,11,10,2.01,37.5,292.0,532.71,120.0,198.9,4.43,293.0,941.02,
2013,1,11,11,2.59,36.14,435.0,693.98,134.0,197.75,4.5,295.0,940.35,
2013,1,11,12,3.16,34.78,521.0,762.36,140.0,196.6,4.57,298.0,939.68,
2013,1,11,13,3.73,33.42,551.0,817.05,129.0,195.45,4.63,300.0,939.01,
2013,1,11,14,3.05,34.49,513.0,824.42,115.0,194.53,3.97,303.0,939.38,
2013,1,11,15,2.37,35.55,410.0,763.31,104.0,193.62,3.31,306.0,939.74,
2013,1,11,16,1.68,36.62,240.0,491.99,104.0,192.7,2.65,309.0,940.11,
2013,1,11,17,-0.16,40.07,29.0,0.0,29.0,192.58,2.46,306.0,940.57,
2013,1,11,18,-2.01,43.53,0.0,0.0,0.0,192.47,2.28,303.0,941.02,
2013,1,11,19,-3.85,46.98,0.0,0.0,0.0,192.35,2.1,300.0,941.48,
2013,1,11,20,-3.34,48.9,0.0,0.0,0.0,190.78,2.1,286.0,941.57,
2013,1,11,21,-2.82,50.81,0.0,0.0,0.0,189.22,2.1,272.0,941.67,
2013,1,11,22,-2.3,52.73,0.0,0.0,0.0,187.65,2.1,259.0,941.76,
2013,1,11,23,-2.56,53.49,0.0,0.0,0.0,186.28,2.19,252.0,941.7,
2013,1,12,0,-2.81,54.25,0.0,0.0,0.0,184.92,2.29,246.0,941.63,
2013,1,12,1,-3.06,55.01,0.0,0.0,0.0,183.55,2.39,240.0,941.57,
2013,1,12,2,-2.76,55.59,0.0,0.0,0.0,183.42,2.39,240.0,941.3,
2013,1,12,3,-2.46,56.17,0.0,0.0,0.0,183.28,2.39,240.0,941.02,
2013,1,12,4,-2.16,56.75,0.0,0.0,0.0,183.15,2.39,240.0,940.75,
2013,1,12,5,-2.51,57.0,0.0,0.0,0.0,183.28,2.46,239.0,940.54,
2013,1,12,6,-2.86,57.24,0.0,0.0,0.0,183.42,2.52,238.0,940.32,
2013,1,12,7,-3.21,57.49,0.0,0.0,0.0,183.55,2.59,236.0,940.11,
2013,1,12,8,-0.75,50.63,5.0,0.0,5.0,187.7,2.71,233.0,939.56,
2013,1,12,9,1.72,43.78,118.0,233.32,77.0,191.85,2.83,231.0,939.01,
2013,1,12,10,4.18,36.92,286.0,490.43,127.0,196.0,2.95,228.0,938.46,
2013,1,12,11,5.49,32.77,422.0,615.46,154.0,198.55,3.36,229.0,936.54,
2013,1,12,12,6.8,28.63,490.0,611.73,183.0,201.1,3.76,231.0,934.62,
2013,1,12,13,8.11,24.48,526.0,686.03,170.0,203.65,4.17,232.0,932.7,
2013,1,12,14,6.74,27.95,497.0,723.0,146.0,203.15,3.49,228.0,932.45,
2013,1,12,15,5.36,31.42,393.0,646.36,132.0,202.65,2.8,225.0,932.21,
2013,1,12,16,3.98,34.89,261.0,626.22,86.0,202.15,2.12,221.0,931.96,
2013,1,12,17,2.55,38.45,49.0,41.35,44.0,201.23,2.27,222.0,932.18,
2013,1,12,18,1.11,42.02,0.0,0.0,0.0,200.32,2.41,223.0,932.39,
2013,1,12,19,-0.32,45.58,0.0,0.0,0.0,199.4,2.55,224.0,932.6,
2013,1,12,20,-0.43,47.86,0.0,0.0,0.0,200.62,2.4,227.0,932.7,
2013,1,12,21,-0.54,50.15,0.0,0.0,0.0,201.83,2.24,230.0,932.79,
2013,1,12,22,-0.65,52.43,0.0,0.0,0.0,203.05,2.08,232.0,932.88,
2013,1,12,23,-0.16,56.6,0.0,0.0,0.0,204.32,2.03,243.0,933.09,
2013,1,13,0,0.34,60.78,0.0,0.0,0.0,205.58,1.98,253.0,933.31,
2013,1,13,1,0.84,64.95,0.0,0.0,0.0,206.85,1.93,264.0,933.52,
2013,1,13,2,0.1,67.18,0.0,0.0,0.0,207.12,1.64,285.0,933.49,
2013,1,13,3,-0.65,69.41,0.0,0.0,0.0,207.38,1.34,307.0,933.46,
2013,1,13,4,-1.4,71.64,0.0,0.0,0.0,207.65,1.05,328.0,933.43,
2013,1,13,5,-2.26,71.92,0.0,0.0,0.0,206.62,1.24,338.0,933.86,
2013,1,13,6,-3.12,72.21,0.0,0.0,0.0,205.58,1.43,347.0,934.28,
2013,1,13,7,-3.98,72.49,0.0,0.0,0.0,204.55,1.63,357.0,934.71,
